Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
CRIV3,5.82,17.09,0.56,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","3,27%",8028.23,1071420000.0,0.0,"3,62%"
TIMP3,13.46,17.13,1.43,1.903,"0,00%",0.818,15.37,9.79,-3.78,9.72,3.77,"19,44%","11,11%",1.34,"9,67%","8,33%",0.0,22847800000.0,0.14,"2,29%"
TCSA3,3.85,17.15,0.48,0.7,"0,00%",0.183,0.53,-9.8,-1.72,-28.53,-43.19,"-7,15%","4,51%",2.97,"-2,13%","2,79%",547673.0,591429000.0,1.2,"0,88%"
SBSP3,74.88,17.18,1.73,2.112,"1,70%",0.867,-4087.31,9.95,-2.29,13.07,8.58,"21,21%","12,29%",1.0,"9,25%","10,07%",172305000.0,29593900000.0,0.64,"7,89%"
BMTO4,7.57,17.27,2.07,0.0,"0,00%",2.03,0.0,-2625.16,0.0,-2624.05,-1477.48,"0,00%","0,00%",0.0,"0,00%","12,00%",0.0,1046320000.0,0.0,"0,00%"
BRGE3,11.22,17.37,0.62,232.96,"0,00%",0.28,0.74,-1.09,1.43,0.94,0.96,"-21.308,20%","2.039,58%",3.13,"-53,33%","3,56%",361.12,1337070000.0,0.0,"-45,82%"
CRPG3,39.95,17.42,1.67,1.94,"13,14%",1.237,2.28,81.44,2.9,74.78,26.11,"2,38%","11,13%",4.8,"1,79%","9,60%",3897.81,692919000.0,0.01,"3,55%"
BMOB3,13.8,17.52,1.11,0.918,"5,47%",0.862,1.85,12.37,1.96,6.85,4.21,"7,43%","5,22%",3.35,"12,86%","6,35%",5500840.0,1080030000.0,0.0,"109,14%"
BFIT4,0.93,17.55,1.96,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","11,15%",0.0,1849420000.0,0.0,"35,67%"
BMTO3,7.82,17.84,2.14,0.0,"0,00%",2.097,0.0,-2711.85,0.0,-2710.74,-1526.3,"0,00%","0,00%",0.0,"0,00%","12,00%",0.0,1046320000.0,0.0,"0,00%"
MULT3,28.58,17.94,2.49,8.745,"3,87%",1.587,107.58,11.33,-6.92,12.59,11.35,"77,16%","48,74%",1.12,"15,28%","13,87%",77020700.0,6899850000.0,0.38,"13,41%"
DESK3,13.89,17.95,1.27,1.738,"0,14%",0.544,-22.8,5.3,-1.25,7.59,5.08,"32,78%","10,89%",0.84,"11,12%","7,08%",3710020.0,1260890000.0,0.68,"44,75%"
UCOP4,6.5,18.01,1.3,19.05,"0,00%",0.844,5.14,22.7,-8.61,24.17,41.56,"83,92%","110,51%",13.37,"3,91%","7,23%",0.0,972713000.0,0.16,"9,25%"
LREN3,17.71,18.32,1.75,1.274,"4,06%",0.855,3.55,6.13,11.32,5.73,4.13,"20,79%","6,95%",1.7,"18,38%","9,54%",317382000.0,9765090000.0,0.22,"13,69%"
BFIT3,0.98,18.49,2.06,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","11,15%",0.0,1849420000.0,0.0,"35,67%"
TMCP3,56.0,18.58,1.38,1.525,"0,00%",0.937,3.85,24.25,4.74,19.68,19.68,"6,29%","9,75%",2.3,"5,54%","7,44%",0.0,1798930000.0,0.03,"10,49%"
WHRL3,4.41,18.6,2.59,0.603,"7,72%",0.698,11.1,9.97,-47.82,9.01,7.19,"6,04%","3,26%",1.1,"17,17%","13,92%",38536.8,2560310000.0,0.55,"12,98%"
RPAD6,7.43,18.82,0.57,0.0,"0,00%",0.569,10.92,-87.02,10.94,-78.51,-78.51,"0,00%","0,00%",12.57,"-0,69%","3,04%",861.44,1100650000.0,0.0,"-52,87%"
SMLE3,92.82,18.88,21.91,6.635,"0,00%",6.477,-124.0,16.5,-42.31,16.32,13.2,"40,22%","35,14%",0.91,"46,17%","116,04%",0.0,524731000.0,0.0,"36,83%"
TIMS3,17.89,18.89,1.69,1.852,"5,08%",0.774,-15.03,9.78,-2.21,9.87,3.75,"18,94%","9,81%",0.79,"9,29%","8,97%",150444000.0,25574100000.0,0.19,"11,17%"
PORT3,17.05,18.9,3.26,3.17,"3,71%",1.301,-52.21,12.71,-2.83,16.88,11.36,"24,94%","17,07%",0.85,"10,90%","17,27%",3774750.0,2298890000.0,1.16,"-14,64%"
AFLT3,8.3,18.97,2.0,7.159,"7,16%",1.674,17.16,18.11,49.97,17.71,17.58,"39,53%","37,74%",1.98,"9,79%","10,55%",3147.02,261604000.0,0.0,"29,36%"
WHRL4,4.5,18.98,2.64,0.615,"8,32%",0.713,11.33,10.18,-48.79,9.21,7.35,"6,04%","3,26%",1.1,"17,17%","13,92%",96869.8,2560310000.0,0.55,"12,98%"
DMVF3,5.7,19.14,0.33,0.173,"0,00%",0.19,4.07,2.01,-1.42,1.84,1.07,"8,59%","0,90%",1.19,"11,75%","1,75%",295819.0,861621000.0,0.03,"23,95%"
SOMA3,7.46,19.15,0.77,1.122,"1,36%",0.545,4.03,11.49,23.66,13.75,8.64,"9,76%","5,86%",1.76,"5,17%","4,00%",112300000.0,7637750000.0,0.17,"59,59%"
ARZZ3,66.65,19.23,2.56,1.563,"2,90%",1.313,14.49,14.65,-178.96,15.54,10.84,"10,67%","8,11%",1.23,"11,42%","13,30%",123504000.0,2891400000.0,0.38,"37,49%"
TMCP4,58.2,19.31,1.44,1.585,"0,00%",0.973,4.0,25.21,4.92,20.63,20.63,"6,29%","9,75%",2.3,"5,54%","7,44%",0.0,1798930000.0,0.03,"10,49%"
B3SA3,14.51,19.41,4.05,7.802,"2,80%",1.711,15.02,15.16,-7.87,14.54,12.14,"51,48%","40,19%",1.46,"16,52%","20,86%",503507000.0,20233800000.0,0.57,"14,48%"
DMFN3,14.0,19.48,0.91,0.0,"3,81%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","4,66%",130.23,14108000.0,0.0,"16,63%"
VIVT3,53.58,19.57,1.29,1.74,"4,82%",0.743,-54.27,12.63,-2.85,14.5,5.06,"13,78%","8,90%",0.92,"6,63%","6,58%",124959000.0,69269900000.0,0.26,"3,92%"
RPAD3,7.89,19.99,0.61,0.0,"0,00%",0.604,11.6,-92.41,11.62,-83.89,-83.89,"0,00%","0,00%",12.57,"-0,69%","3,04%",2163.51,1100650000.0,0.0,"-52,87%"
AUTM3,19.7,20.0,1.9,0.709,"0,00%",0.547,4.08,6.78,-2.42,8.22,8.99,"10,47%","4,31%",1.48,"11,93%","9,50%",0.0,1304250000.0,0.97,"28,21%"
