Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
AMBV3,87.0,26.65,8.76,8.045,"0,00%",5.266,144.35,20.59,-37.8,20.41,18.39,"39,08%","30,76%",1.18,"32,43%","32,88%",0.0,31105700000.0,0.1,"21,73%"
FLRY3,18.55,27.18,1.96,1.726,"2,34%",0.88,11.03,12.11,-2.9,15.82,9.15,"14,25%","6,29%",1.48,"8,39%","7,21%",47751200.0,5177130000.0,0.79,"21,09%"
RPSA4,4.9,27.33,1.55,5.697,"0,00%",0.805,5.09,107.53,-4.5,137.55,137.55,"5,30%","20,85%",2.09,"0,85%","5,69%",0.0,1167980000.0,0.61,"-14,23%"
SEBB11,23.27,28.01,6.44,2.214,"0,00%",5.279,24.65,23.96,28.94,23.73,23.73,"9,24%","7,40%",2.44,"24,15%","23,01%",0.0,145783000.0,0.01,"50,04%"
VVEO3,14.07,28.06,1.45,0.42,"1,74%",0.456,1.5,7.42,-5.2,10.08,8.69,"5,66%","1,50%",2.04,"9,01%","5,17%",14246600.0,3129440000.0,1.06,"39,59%"
ELCA4,20.2,29.32,7.3,2.765,"0,00%",1.614,96.33,11.34,-3.15,14.04,11.69,"24,39%","12,92%",1.07,"16,03%","24,89%",0.0,5841410000.0,2.04,"11,85%"
PGMN3,3.44,29.5,0.73,0.17,"4,43%",0.214,1.31,5.3,-1.08,8.75,3.49,"3,20%","-0,91%",1.48,"5,39%","2,47%",2869230.0,2557500000.0,0.68,"14,27%"
WEGE3,36.51,29.58,9.5,4.801,"1,68%",5.095,15.93,22.02,21.08,21.61,19.86,"21,80%","16,60%",1.86,"31,56%","32,13%",277412000.0,16123000000.0,0.18,"27,10%"
ONCO3,12.4,29.83,2.95,1.241,"0,00%",0.76,7.5,8.49,-2.0,12.4,9.5,"14,62%","6,12%",1.48,"10,69%","9,90%",27812800.0,2215000000.0,1.63,"44,83%"
MATD3,8.31,29.94,1.91,1.472,"0,77%",0.614,3.87,7.5,-1.51,9.68,7.74,"19,63%","5,90%",2.68,"9,05%","6,38%",3337350.0,1662270000.0,0.77,"40,24%"
ELET3,41.97,30.24,0.86,2.748,"0,53%",0.35,3.57,9.23,-0.92,12.96,9.65,"29,78%","8,58%",1.88,"4,33%","2,83%",271309000.0,113118000000.0,0.63,"19,38%"
ENBR3,24.08,30.41,1.29,0.793,"5,90%",0.382,-9.12,3.13,-1.12,5.27,4.06,"25,30%","3,82%",0.89,"13,34%","4,25%",0.0,10837600000.0,1.04,"7,19%"
BSCT5,3.5,30.51,2.76,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","9,05%",0.0,212960000.0,0.0,"1,92%"
CCRO3,14.35,31.04,2.29,1.75,"1,35%",0.548,22.45,5.34,-1.02,9.51,7.57,"32,78%","5,93%",1.13,"12,16%","7,37%",94964300.0,12677100000.0,2.39,"17,18%"
PNVL4,18.62,31.81,2.46,0.647,"0,00%",0.951,3.87,19.1,-39.17,24.62,10.68,"3,39%","2,04%",1.71,"6,76%","7,73%",0.0,1139060000.0,0.94,"14,47%"
BMGB11,33.6,32.01,1.26,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","3,93%",0.0,3896220000.0,0.0,"-12,97%"
MOSI3,8.24,32.29,1.56,4.761,"0,00%",1.453,1.89,89.69,1.9,42.98,24.91,"5,31%","14,75%",13.3,"8,12%","4,82%",0.0,670337000.0,0.0,"0,00%"
NGRD3,1.26,32.45,0.66,1.11,"1,17%",0.448,1.81,62.51,4.27,27.68,4.43,"1,78%","2,71%",2.37,"1,11%","2,03%",562091.0,456449000.0,0.11,"7,00%"
CREM3,14.5,32.69,2.45,0.685,"0,00%",0.67,4.89,8.52,-5.41,12.04,7.07,"8,05%","2,10%",1.29,"11,36%","7,50%",0.0,189701000.0,1.58,"-0,27%"
JOPA3,21.0,32.81,0.39,0.105,"3,91%",0.094,0.25,2.53,1.52,9.22,7.86,"4,14%","0,65%",2.07,"5,64%","1,19%",97852.1,570576000.0,2.19,"16,28%"
TSEP3,40.0,33.05,1.79,1.768,"0,00%",1.25,5.24,20.44,6.11,17.91,17.91,"8,65%","5,35%",1.88,"9,10%","5,43%",0.0,2047020000.0,0.0,"4,50%"
ELEK4,26.0,33.27,3.62,0.842,"0,25%",1.452,5.1,70.89,-150.12,84.56,33.61,"1,19%","2,53%",1.94,"2,52%","10,87%",0.0,226327000.0,0.99,"5,69%"
SMFT3,25.73,33.37,3.2,7.125,"1,76%",1.143,13.68,34.97,-3.03,36.59,10.32,"20,37%","21,52%",1.47,"4,26%","9,59%",49112100.0,4713060000.0,0.74,"9,81%"
ELET6,46.89,33.79,0.96,3.07,"3,19%",0.391,3.99,10.31,-1.02,14.04,10.45,"29,78%","8,58%",1.88,"4,33%","2,83%",53882400.0,113118000000.0,0.63,"19,38%"
CTIP3,49.5,35.13,8.76,8.248,"0,00%",3.774,-71.28,21.15,-14.32,21.42,18.26,"38,99%","23,48%",0.85,"24,63%","24,94%",0.0,1486250000.0,0.67,"13,43%"
TNLP3,27.75,35.39,0.96,0.468,"0,00%",0.17,1.76,4.63,-0.45,10.31,10.31,"10,12%","-0,07%",1.48,"4,58%","2,72%",0.0,13736000000.0,2.02,"15,39%"
ARML3,17.26,35.45,4.92,4.809,"1,68%",1.506,8.85,14.05,-3.92,17.38,12.28,"34,23%","13,57%",2.22,"14,84%","13,89%",10697400.0,1213290000.0,1.82,"184,64%"
CPLE5,23.98,35.74,3.08,3.242,"1,71%",1.284,16.56,20.89,-3.79,23.69,16.94,"15,52%","9,10%",1.48,"7,14%","8,61%",2675.63,23253100000.0,0.65,"10,21%"
ELCA3,24.7,35.85,8.92,3.382,"0,00%",1.973,117.79,13.86,-3.85,16.56,13.79,"24,39%","12,92%",1.07,"16,03%","24,89%",0.0,5841410000.0,2.04,"11,85%"
GOLL4,9.14,35.99,-0.17,0.207,"0,00%",0.223,-0.37,1.82,-0.11,6.33,3.51,"11,41%","0,58%",0.25,"14,87%","-0,48%",83191300.0,-22029000000.0,-0.47,"12,09%"
ELMD3,15.13,36.37,2.65,2.418,"0,00%",0.902,74.88,12.7,-2.85,16.16,8.84,"19,04%","9,36%",1.05,"9,26%","7,28%",1223830.0,800087000.0,1.23,"58,67%"
VIGR3,25.0,36.57,2.55,0.763,"0,00%",0.899,11.45,12.39,-5.02,15.2,22.95,"6,16%","2,28%",1.26,"9,06%","6,98%",0.0,1593560000.0,0.84,"54,72%"
YDUQ3,22.28,36.62,2.13,1.372,"1,23%",0.703,7.91,8.47,-1.73,13.59,7.0,"16,20%","3,80%",1.52,"9,69%","5,81%",83786700.0,3239030000.0,1.65,"8,98%"
PARD3,20.25,36.76,5.3,2.565,"5,22%",2.095,-54.06,17.52,-8.62,18.12,11.99,"14,64%","7,00%",0.9,"15,26%","14,42%",0.0,1019310000.0,0.53,"15,97%"
LIPR3,72.0,36.89,3.93,0.0,"3,43%",3.721,13.39,-194.51,14.28,-180.59,-180.59,"0,00%","0,00%",9.02,"-2,61%","10,64%",656.47,215774000.0,0.0,"0,00%"
RDOR3,28.19,38.43,2.83,1.591,"1,31%",0.673,2.29,12.83,-2.38,13.24,9.74,"12,40%","4,39%",2.7,"8,02%","7,37%",141411000.0,22773400000.0,1.48,"41,75%"
ALSC3,27.75,38.57,2.2,10.717,"0,95%",1.202,9.41,19.33,-4.22,17.49,14.08,"55,45%","29,30%",5.39,"7,03%","5,69%",0.0,2593960000.0,0.0,"2,34%"
SCAR3,25.83,39.38,0.98,1.893,"0,00%",0.426,1.56,5.26,-2.0,10.73,9.06,"35,98%","4,80%",4.63,"8,81%","2,48%",445646.0,1525820000.0,1.2,"17,32%"
RHDS3,0.11,39.98,3.24,0.548,"0,00%",0.79,-65.29,7.49,-2.7,10.7,8.06,"7,31%","1,17%",0.97,"11,80%","8,12%",0.0,272045000.0,1.49,"4,38%"
RAIA3,30.5,41.22,2.98,0.897,"0,00%",1.777,4.31,18.18,5.06,16.73,16.73,"4,93%","2,18%",2.2,"17,80%","7,22%",0.0,635785000.0,0.12,"0,00%"
IMCH3,6.39,41.83,0.59,0.336,"0,00%",0.289,-9.49,12.28,-0.78,21.16,6.62,"2,73%","0,80%",0.82,"2,55%","1,40%",0.0,920589000.0,0.51,"21,04%"
PTQS4,189.46,43.43,2.19,4.717,"0,00%",1.577,9.89,-7214.41,-35.73,-7466.35,-7466.35,"-0,07%","11,37%",3.32,"-0,02%","5,04%",0.0,1714950000.0,0.24,"56,13%"
UOLL4,19.62,43.52,2.35,2.054,"0,00%",1.403,457.14,15.14,-12.83,16.49,16.49,"13,56%","4,69%",1.01,"10,57%","5,40%",0.0,1003690000.0,0.23,"21,99%"
RAIL3,22.9,44.14,2.67,4.029,"0,29%",0.861,7.46,12.83,-1.96,16.49,10.11,"31,40%","9,14%",1.99,"7,93%","6,04%",329932000.0,15936700000.0,1.2,"11,29%"
RENT3,64.52,44.6,2.74,2.564,"1,69%",0.933,264.78,12.99,-2.05,18.31,10.03,"19,74%","5,73%",1.02,"8,97%","6,13%",414379000.0,25191500000.0,1.46,"26,96%"
JBSS3,24.87,45.74,1.31,0.153,"4,02%",0.257,1.56,-1.01,-0.67,-2.49,-3.09,"-15,10%","0,35%",1.7,"-34,43%","2,87%",183218000.0,41972500000.0,2.58,"17,85%"
RADL3,28.89,45.98,8.67,1.509,"1,05%",2.56,13.71,24.76,-21.86,26.0,14.32,"6,10%","3,34%",1.47,"14,19%","18,86%",166318000.0,5721820000.0,0.54,"18,62%"
CGAS3,122.51,46.15,36.54,1.019,"2,63%",1.159,65.86,5.64,-1.98,7.5,6.29,"18,08%","2,21%",1.05,"27,71%","79,18%",16201.5,444316000.0,17.38,"20,06%"
CGAS5,126.1,47.5,37.61,1.049,"2,81%",1.193,67.79,5.8,-2.04,7.67,6.43,"18,08%","2,21%",1.05,"27,71%","79,18%",169645.0,444316000.0,17.38,"20,06%"
AESB3,12.54,47.84,1.69,2.345,"0,00%",0.381,23.11,8.1,-0.69,18.01,10.26,"28,95%","11,12%",1.11,"5,47%","3,53%",23382700.0,4469480000.0,2.62,"62,22%"
CEPE5,40.12,48.28,2.01,0.355,"0,00%",0.224,-12.52,2.39,-0.35,8.19,6.21,"14,90%","0,74%",0.93,"10,44%","4,16%",0.0,1490000000.0,5.21,"33,24%"
PLTO6,10.47,50.81,692616.0,0.69,"0,00%",0.901,2.9,55.05,-1.55,56.35,56.35,"1,25%","1,36%",3.87,"1,74%","1.363.200,00%",0.0,1000.0,21227.0,"8,78%"
CEPE6,43.0,51.75,2.15,0.381,"0,00%",0.24,-13.42,2.56,-0.37,8.36,6.34,"14,90%","0,74%",0.93,"10,44%","4,16%",0.0,1490000000.0,5.21,"33,24%"
SULA11,22.25,52.23,1.13,0.432,"0,27%",0.314,0.85,-13.07,-4.6,6.62,8.51,"-3,30%","0,83%",2.29,"-5,62%","2,17%",0.0,8363840000.0,0.37,"1,66%"
SULA3,7.43,52.32,1.13,0.433,"0,27%",0.314,0.85,-13.09,-4.61,6.59,8.48,"-3,30%","0,83%",2.29,"-5,62%","2,17%",0.0,8363840000.0,0.37,"1,66%"
JOPA4,33.8,52.81,0.63,0.168,"2,67%",0.152,0.4,4.06,2.45,10.76,9.18,"4,14%","0,65%",2.07,"5,64%","1,19%",0.0,570576000.0,2.19,"16,28%"
PLTO5,10.94,53.09,723708.0,0.721,"0,00%",0.942,3.03,57.52,-1.62,58.82,58.82,"1,25%","1,36%",3.87,"1,74%","1.363.200,00%",0.0,1000.0,21227.0,"8,78%"
CEAB3,8.02,53.16,0.87,0.388,"0,00%",0.282,1.59,5.6,-1.43,6.97,2.65,"6,92%","0,73%",1.59,"6,90%","1,64%",30695800.0,2842690000.0,0.61,"16,69%"
FFTL3,25.0,53.22,2.26,3.41,"0,00%",1.508,23.71,20.9,-15.54,20.55,20.55,"16,32%","8,16%",1.37,"8,91%","4,24%",0.0,6274030000.0,0.07,"7,79%"
FFTL4,25.06,53.34,2.26,3.418,"0,00%",1.512,23.77,20.95,-15.58,20.6,20.6,"16,32%","8,16%",1.37,"8,91%","4,24%",0.0,6274030000.0,0.07,"7,79%"
SULA4,7.63,53.73,1.17,0.444,"0,26%",0.323,0.88,-13.45,-4.73,6.24,8.02,"-3,30%","0,83%",2.29,"-5,62%","2,17%",0.0,8363840000.0,0.37,"1,66%"
HBSA3,3.86,55.27,1.85,1.462,"0,00%",0.458,3.56,6.37,-0.86,14.1,7.92,"22,93%","2,64%",2.44,"8,40%","3,35%",35887300.0,1585400000.0,2.75,"10,94%"
BSEV3,9.0,56.31,-10.76,0.889,"0,00%",0.776,-1.59,4.4,-1.02,7.59,3.7,"20,19%","1,58%",0.39,"20,66%","-19,12%",0.0,-853187000.0,-8.95,"7,12%"
APER3,43.37,57.29,1.78,2.862,"0,75%",1.035,-47.6,14.28,-4.86,14.09,10.17,"20,04%","4,96%",0.9,"7,96%","3,10%",5002290.0,477848000.0,0.11,"37,78%"
CEGR3,85.0,57.3,15.75,3.753,"1,23%",4.909,-225.52,21.38,-11.81,22.1,22.1,"17,55%","6,55%",0.93,"28,99%","27,48%",0.0,1401590000.0,0.89,"8,88%"
GVTT3,57.7,57.38,3.68,4.312,"0,00%",2.268,21.82,25.92,-18.43,26.65,26.65,"16,64%","7,52%",1.66,"10,32%","6,42%",0.0,2150790000.0,0.24,"31,47%"
PETZ3,4.04,58.32,1.04,0.595,"0,69%",0.47,2.89,10.13,-2.32,10.05,3.72,"5,87%","1,02%",1.9,"5,83%","1,78%",51752100.0,1801540000.0,0.25,"27,01%"
AEDU3,18.35,59.34,3.32,4.141,"0,00%",2.159,17.0,41.06,-21.55,43.27,29.01,"10,08%","6,98%",2.04,"5,77%","5,60%",0.0,2415400000.0,0.3,"20,90%"
ELET5,85.0,61.25,1.73,5.565,"0,00%",0.708,7.23,18.69,-1.86,22.42,16.69,"29,78%","8,58%",1.88,"4,33%","2,83%",790.7,113118000000.0,0.63,"19,38%"
SUBA3,84.0,61.95,8.39,8.067,"0,00%",6.778,8.03,115.78,8.09,106.17,106.17,"6,97%","13,02%",5.55,"19,11%","13,54%",0.0,530396000.0,0.0,"0,00%"
ENEV3,13.65,65.19,1.67,2.234,"0,00%",0.442,12.29,9.63,-0.97,16.78,9.85,"23,20%","3,62%",1.18,"5,64%","2,56%",114913000.0,12943500000.0,1.83,"35,90%"
CSAB3,35.0,67.05,1.27,358.4,"1,72%",0.65,0.0,21.64,0.0,0.0,0.0,"1.656,27%","534,53%",0.0,"0,00%","1,89%",398.84,211654000.0,0.0,"-17,83%"
IGTA3,33.13,69.21,1.89,5.542,"0,00%",0.971,82.03,11.07,-3.67,13.41,10.26,"50,04%","8,51%",1.06,"10,56%","2,73%",0.0,3062550000.0,0.72,"11,19%"
ENAT3,18.38,70.65,1.26,3.018,"0,82%",0.598,4.71,12.22,-2.58,13.81,6.47,"24,70%","4,27%",1.77,"7,03%","1,78%",30263400.0,3876330000.0,0.68,"17,25%"
DAGB33,375.0,71.75,1.6,0.64,"0,00%",0.51,15.24,11.87,-1.27,19.35,30.65,"5,39%","1,67%",1.17,"4,96%","2,24%",0.0,12597300000.0,1.18,"32,08%"
DTCY3,4.4,71.92,-29.59,6.243,"0,00%",6.969,-36.74,-16.78,-7.09,-16.99,-82.38,"-37,20%","8,68%",0.57,"-45,04%","-41,15%",364.58,-1655000.0,-0.61,"-16,58%"
CTPC3,0.2,76.36,1.08,0.0,"0,00%",0.097,0.0,-16.86,0.0,-18.75,-18.75,"0,00%","0,00%",0.0,"0,00%","1,41%",0.0,2411000.0,0.0,"-6,10%"
CSAB4,41.0,78.54,1.49,419.84,"1,62%",0.761,0.0,25.35,0.0,0.0,0.0,"1.656,27%","534,53%",0.0,"0,00%","1,89%",11515.2,211654000.0,0.0,"-17,83%"
ROMI4,185.0,82.14,14.47,11.923,"0,00%",7.21,20.69,90.38,64.07,93.1,71.77,"13,19%","14,58%",2.31,"9,55%","17,62%",0.0,1134300000.0,0.69,"18,62%"
RLOG3,23.08,82.76,4.26,1.534,"0,00%",0.229,1.49,5.32,-0.5,12.43,6.68,"28,85%","7,07%",2.64,"5,36%","5,15%",0.0,2507240000.0,9.08,"8,76%"
NINJ3,5.01,85.17,0.89,4.187,"0,00%",0.837,0.95,-9.4,0.95,0.81,0.89,"-44,53%","4,92%",16.07,"-131,11%","1,05%",1105750.0,285195000.0,0.0,"3,33%"
IRBR3,45.55,99.59,0.9,0.578,"0,00%",0.173,0.0,-6.8,0.0,0.0,0.0,"-8,51%","0,58%",0.0,"0,00%","0,90%",96321700.0,4169510000.0,0.0,"0,00%"
HGTX3,37.5,101.99,3.57,4.178,"0,00%",2.48,7.5,105.87,9.93,106.77,42.5,"3,95%","4,10%",2.47,"3,00%","3,51%",0.0,1704940000.0,0.12,"-4,62%"
PQUN3,15.44,104.31,1.88,0.545,"0,00%",0.523,7.57,19.5,-0.97,40.25,40.25,"2,80%","0,52%",1.61,"3,02%","1,81%",0.0,858692000.0,2.28,"5,19%"
PQUN4,15.44,104.31,1.88,0.545,"0,00%",0.523,7.57,19.5,-0.97,40.25,40.25,"2,80%","0,52%",1.61,"3,02%","1,81%",0.0,858692000.0,2.28,"5,19%"
TMAR6,42.01,112.59,0.71,0.519,"0,00%",0.181,1.49,4.04,-0.5,8.29,3.21,"12,84%","-0,42%",1.62,"5,78%","0,63%",0.0,20448500000.0,1.38,"14,80%"
TMAR5,42.67,114.35,0.72,0.527,"0,00%",0.184,1.51,4.1,-0.51,8.35,3.24,"12,84%","-0,42%",1.62,"5,78%","0,63%",0.0,20448500000.0,1.38,"14,80%"
SRNA3,10.17,122.41,1.25,2.278,"0,00%",0.353,-2.71,8.46,-0.59,20.04,12.59,"26,93%","1,95%",0.48,"4,42%","1,02%",11956800.0,5079960000.0,1.86,"42,25%"
NETC3,38.5,123.1,2.12,1.29,"0,00%",1.074,-33.02,10.82,-2.96,12.15,5.27,"11,93%","1,55%",0.8,"10,95%","1,72%",0.0,6812390000.0,0.28,"66,63%"
NETC4,40.0,127.89,2.2,1.34,"0,00%",1.116,-34.31,11.24,-3.08,12.57,5.45,"11,93%","1,55%",0.8,"10,95%","1,72%",0.0,6812390000.0,0.28,"66,63%"
CRFB3,12.31,132.41,1.31,0.236,"1,20%",0.297,-6.66,6.19,-0.94,10.19,6.93,"3,81%","0,38%",0.91,"6,15%","0,99%",97446600.0,19775000000.0,1.05,"17,54%"
PATI3,29.1,133.36,0.82,0.368,"1,66%",0.408,0.83,17.36,1.56,14.8,11.23,"2,12%","0,28%",2.78,"4,42%","0,62%",3959.98,845677000.0,0.54,"20,76%"
PATI4,33.0,151.24,0.93,0.417,"6,39%",0.463,0.94,19.68,1.77,17.13,13.0,"2,12%","0,28%",2.78,"4,42%","0,62%",0.0,845677000.0,0.54,"20,76%"
CEPE3,128.0,154.04,6.41,1.134,"0,00%",0.715,-39.96,7.61,-1.11,13.41,10.18,"14,90%","0,74%",0.93,"10,44%","4,16%",0.0,1490000000.0,5.21,"33,24%"
MERC4,7.4,154.61,0.54,0.0,"6,08%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,35%",325.26,248674000.0,0.0,"-20,95%"
SIMH3,9.6,154.99,2.3,0.262,"1,64%",0.128,0.96,1.42,-0.22,7.24,4.96,"18,50%","1,15%",1.75,"11,16%","1,48%",30162000.0,3498440000.0,11.75,"57,38%"
TMAR3,62.0,166.16,1.04,0.765,"0,00%",0.268,2.2,5.96,-0.74,10.21,3.96,"12,84%","-0,42%",1.62,"5,78%","0,63%",0.0,20448500000.0,1.38,"14,80%"
MLFT4,22.39,169.28,11.34,41.519,"0,00%",6.483,80.45,84.45,-27.92,87.75,67.12,"49,16%","24,99%",1.71,"9,01%","6,70%",0.0,4153350000.0,0.7,"13,09%"
CASN3,10.45,178.97,5.4,6.821,"0,19%",2.387,-34.51,42.19,-5.39,48.7,28.36,"16,17%","3,81%",0.63,"5,92%","3,02%",0.0,2010770000.0,0.87,"13,06%"
BIDI3,3.4,225.51,1.06,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,47%",0.0,8348550000.0,0.0,"37,00%"
BIDI4,3.41,226.17,1.06,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,47%",0.0,8348550000.0,0.0,"37,00%"
BIDI11,10.4,229.93,1.08,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,47%",0.0,8348550000.0,0.0,"37,00%"
ELEV3,24.3,312.39,3.22,0.688,"0,00%",0.954,5.75,37.19,-5.18,51.41,51.41,"1,85%","0,27%",1.47,"3,01%","1,03%",0.0,489356000.0,1.35,"3,69%"
MERC3,15.28,319.25,1.11,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,35%",0.0,248674000.0,0.0,"-20,95%"
RHDS4,1.0,363.45,29.5,4.977,"0,00%",7.182,-593.56,68.11,-24.55,71.32,53.72,"7,31%","1,17%",0.97,"11,80%","8,12%",0.0,272045000.0,1.49,"4,38%"
PRBC4,14.54,511.91,39.16,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","7,65%",0.0,1209470000.0,0.0,"-7,92%"
UBBR4,7.49,610.27,1.99,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,33%",0.0,10317200000.0,0.0,"10,58%"
UBBR11,14.75,1201.81,3.91,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,33%",0.0,10317200000.0,0.0,"10,58%"
UBBR3,18.0,1466.61,4.77,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,33%",0.0,10317200000.0,0.0,"10,58%"
